anger,disgust,fear,joy,sadness,surprise,time,system,video,video_emotion,video_gender
0.0834508,0.0192432,0.000836463,0.0133452,0.0749076,0.00948945,99,crowdemotion_CNN,boredom_M,boredom,M
0.0774438,0.0267933,0.00103895,0.0176154,0.0662412,0.0114503,100,crowdemotion_CNN,boredom_M,boredom,M
0.095235,0.0238357,0.00109208,0.0160111,0.0861022,0.00920176,101,crowdemotion_CNN,boredom_M,boredom,M
0.0775241,0.0290047,0.00136703,0.0234251,0.0819537,0.0111195,102,crowdemotion_CNN,boredom_M,boredom,M
0.0802795,0.0280909,0.00156491,0.0236841,0.0854211,0.0108879,103,crowdemotion_CNN,boredom_M,boredom,M
0.0588706,0.0191441,0.00052462,0.013613,0.080694,0.00980784,104,crowdemotion_CNN,boredom_M,boredom,M
0.0751198,0.0213422,0.0009883,0.0159601,0.115373,0.0103866,105,crowdemotion_CNN,boredom_M,boredom,M
0.0978557,0.030655,0.00144681,0.0242766,0.116452,0.00926043,106,crowdemotion_CNN,boredom_M,boredom,M
0.108804,0.0245492,0.000787587,0.0148066,0.117493,0.00786301,107,crowdemotion_CNN,boredom_M,boredom,M
0.122014,0.0345314,0.00133507,0.0203303,0.112145,0.0130374,108,crowdemotion_CNN,boredom_M,boredom,M
0.111087,0.0304808,0.001288,0.0213103,0.104126,0.0102807,109,crowdemotion_CNN,boredom_M,boredom,M
0.105961,0.0357358,0.00152506,0.0190412,0.100764,0.0121066,110,crowdemotion_CNN,boredom_M,boredom,M
0.119293,0.0437561,0.00169277,0.0227468,0.0927233,0.0142902,111,crowdemotion_CNN,boredom_M,boredom,M
0.112909,0.0360297,0.00149549,0.0208252,0.108342,0.0143334,112,crowdemotion_CNN,boredom_M,boredom,M
0.100999,0.0311505,0.00171018,0.0181977,0.0956447,0.00964379,113,crowdemotion_CNN,boredom_M,boredom,M
0.067473,0.0166807,0.000475266,0.00899602,0.0787907,0.011896,114,crowdemotion_CNN,boredom_M,boredom,M
0.0646451,0.0166067,0.000957812,0.0195352,0.110062,0.0100756,115,crowdemotion_CNN,boredom_M,boredom,M
0.0977635,0.0334669,0.00152211,0.0249528,0.113091,0.0100049,116,crowdemotion_CNN,boredom_M,boredom,M
0.0981674,0.0349825,0.00152489,0.0239054,0.0830482,0.00974919,117,crowdemotion_CNN,boredom_M,boredom,M
0.0823442,0.0248047,0.00123406,0.0182917,0.0818125,0.00801734,118,crowdemotion_CNN,boredom_M,boredom,M
0.0998222,0.0262533,0.00115021,0.024271,0.0912367,0.0105337,119,crowdemotion_CNN,boredom_M,boredom,M
0.119494,0.0464225,0.00148661,0.024486,0.0832837,0.0127809,120,crowdemotion_CNN,boredom_M,boredom,M
0.109763,0.0390514,0.00140787,0.0187621,0.0805658,0.0101433,121,crowdemotion_CNN,boredom_M,boredom,M
0.105615,0.0391845,0.00157785,0.0207774,0.0802532,0.0115555,122,crowdemotion_CNN,boredom_M,boredom,M
0.120284,0.0401714,0.00154137,0.0186143,0.0933718,0.010575,123,crowdemotion_CNN,boredom_M,boredom,M
0.0605347,0.0115601,0.000594554,0.0091811,0.0721588,0.0128479,124,crowdemotion_CNN,boredom_M,boredom,M
0.0751609,0.0199328,0.0010302,0.0140671,0.0981922,0.0127206,125,crowdemotion_CNN,boredom_M,boredom,M
0.123481,0.0399923,0.00178148,0.0237042,0.117808,0.0125819,126,crowdemotion_CNN,boredom_M,boredom,M
0.0777048,0.0257307,0.00145046,0.0202471,0.105064,0.00948134,127,crowdemotion_CNN,boredom_M,boredom,M
0.0896689,0.0272796,0.00105312,0.0152249,0.105968,0.0112875,128,crowdemotion_CNN,boredom_M,boredom,M
0.0590551,0.0191717,0.000510847,0.00995714,0.0933297,0.00813737,129,crowdemotion_CNN,boredom_M,boredom,M
0.0697455,0.0250352,0.000978572,0.0236342,0.0887387,0.0089674,130,crowdemotion_CNN,boredom_M,boredom,M
0.101083,0.0458194,0.00165416,0.0276485,0.124665,0.0164925,131,crowdemotion_CNN,boredom_M,boredom,M
0.0689103,0.0290257,0.000914729,0.0166255,0.0685792,0.0113346,132,crowdemotion_CNN,boredom_M,boredom,M
0.066517,0.0214799,0.000902046,0.0122295,0.134383,0.00886907,133,crowdemotion_CNN,boredom_M,boredom,M
0.0620535,0.0236777,0.000825789,0.0133104,0.0773644,0.00854668,134,crowdemotion_CNN,boredom_M,boredom,M
0.0682236,0.0271158,0.00113133,0.0182899,0.0863832,0.0113497,135,crowdemotion_CNN,boredom_M,boredom,M
0.0896347,0.0222376,0.00112897,0.019493,0.144751,0.0113558,136,crowdemotion_CNN,boredom_M,boredom,M
0.0767401,0.0294208,0.00102516,0.0195116,0.0794715,0.0115057,137,crowdemotion_CNN,boredom_M,boredom,M
0.0768281,0.0339688,0.00168157,0.0270745,0.100789,0.0149121,138,crowdemotion_CNN,boredom_M,boredom,M
0.068746,0.0228973,0.00117689,0.0143993,0.110632,0.00962707,139,crowdemotion_CNN,boredom_M,boredom,M
0.0933902,0.0256017,0.00119251,0.0234736,0.165299,0.0113497,140,crowdemotion_CNN,boredom_M,boredom,M
0.128872,0.0359058,0.0010241,0.0242251,0.152018,0.0100205,141,crowdemotion_CNN,boredom_M,boredom,M
0.0887141,0.0255492,0.00148042,0.026654,0.0965322,0.0116627,142,crowdemotion_CNN,boredom_M,boredom,M
0.0825244,0.0310404,0.00150353,0.0238849,0.0948304,0.0128502,143,crowdemotion_CNN,boredom_M,boredom,M
0.0976683,0.0331993,0.00174889,0.022303,0.109584,0.0139528,144,crowdemotion_CNN,boredom_M,boredom,M
0.115924,0.0317597,0.00161554,0.0168335,0.111599,0.0123776,145,crowdemotion_CNN,boredom_M,boredom,M
0.0840206,0.0235046,0.00142069,0.0206637,0.112663,0.0118248,146,crowdemotion_CNN,boredom_M,boredom,M
0.0627884,0.0200118,0.000685515,0.0154242,0.0930489,0.0116468,147,crowdemotion_CNN,boredom_M,boredom,M
0.0834882,0.0318815,0.000782502,0.017767,0.0928267,0.0134826,148,crowdemotion_CNN,boredom_M,boredom,M
0.125893,0.0358053,0.00116767,0.0279675,0.103138,0.0117465,149,crowdemotion_CNN,boredom_M,boredom,M
0.109056,0.0329947,0.0013511,0.0260645,0.0894932,0.0105009,150,crowdemotion_CNN,boredom_M,boredom,M
0.107131,0.0405415,0.00175212,0.0289483,0.0869805,0.0112809,151,crowdemotion_CNN,boredom_M,boredom,M
0.098436,0.0297617,0.00126798,0.0225247,0.101846,0.00984786,152,crowdemotion_CNN,boredom_M,boredom,M
0.0544648,0.0275787,0.000768059,0.022667,0.0752799,0.00901799,153,crowdemotion_CNN,boredom_M,boredom,M
0.0807808,0.0233202,0.000775365,0.0182954,0.111763,0.0109738,154,crowdemotion_CNN,boredom_M,boredom,M
0.122391,0.0368476,0.00107847,0.0229822,0.119329,0.0127433,155,crowdemotion_CNN,boredom_M,boredom,M
0.0611704,0.0164712,0.000683949,0.0123432,0.0987965,0.0144284,156,crowdemotion_CNN,boredom_M,boredom,M
0.0965917,0.0303337,0.00104096,0.0175258,0.103852,0.0106771,157,crowdemotion_CNN,boredom_M,boredom,M
