UniqueID,DayNumber,title,rank,newsSource,URLs,Date,Filename,Seg,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,Iself,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct,Polarity
172,2,Car smoke ban 'to start in October',2,BBCNews,http://www.bbc.co.uk/news/health-30513439,22/12/2014,headlineagp.txt,1,7,7,14.29,100,0,28.57,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,14.29,57.14,14.29,14.29,28.57,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,28.57,0,0,42.86,0
173,3,Pakistan school attack: PM Sharif vows to end 'terrorism',3,BBCNews,http://www.bbc.co.uk/news/world-asia-30517904,22/12/2014,headlineagq.txt,1,9,9,22.22,55.56,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,22.22,0,22.22,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,0,0,22.22,0,0,44.44,-22.22
174,4,As it happened: Pakistan families bury children,4,BBCNews,http://www.bbc.co.uk/news/live/world-asia-30511784,22/12/2014,headlineagr.txt,1,7,7,57.14,85.71,0,28.57,14.29,0,0,0,0,0,0,14.29,0,14.29,0,14.29,0,0,0,14.29,14.29,0,0,0,0,28.57,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,14.29,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,28.57,0
175,5,Al-Sweady Inquiry: UK army murder claims 'deliberate lies',5,BBCNews,http://www.bbc.co.uk/news/uk-30515369,22/12/2014,headlineags.txt,1,9,9,33.33,44.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,22.22,0,22.22,0,22.22,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,11.11,0,11.11,0,0,0,22.22,0,22.22,0,0,55.56,-22.22
176,6,Preston student sleeps rough to repay homeless man Robbie's kindness,6,BBCNews,http://www.bbc.co.uk/news/uk-england-lancashire-30511262,22/12/2014,headlineagt.txt,1,10,10,50,60,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,10,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,20,10
177,7,Alan Gross: US worker released from Cuba prison,7,BBCNews,http://www.bbc.co.uk/news/world-us-canada-30519787,22/12/2014,headlineagu.txt,1,8,8,12.5,50,0,25,12.5,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,12.5,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,25,-12.5
178,8,Rules for babies 'from three people',8,BBCNews,http://www.bbc.co.uk/news/health-30513700,22/12/2014,headlineagv.txt,1,6,6,0,83.33,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,16.67,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,33.33,0,0,50,0
179,9,New York premiere of Sony film The Interview cancelled,9,BBCNews,http://www.bbc.co.uk/news/entertainment-arts-30507306,22/12/2014,headlineagw.txt,1,9,9,33.33,55.56,0,22.22,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,11.11,0,11.11,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,11.11,0
180,10,Russia plans new measures to stabilise the rouble,10,BBCNews,http://www.bbc.co.uk/news/business-30512079,22/12/2014,headlineagx.txt,1,8,8,25,50,0,25,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,12.5,0
256,1,Glasgow bin lorry crash,1,BBCNews,http://www.bbc.co.uk/news/live/uk-scotland-30534948,23/12/2014,headlineajv.txt,1,4,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25,0
